condition,generation,replicates,median_total,median_il11_percent,median_shared_death_reduction,median_nonproducer_expected_offspring
IL11 OFF,18,30,72455.5,0.0,0.0,1.428
IL11 ON,18,30,110469.5,1.603019646699818,0.02669444781789715,1.4824566735485103
