il11_percent,benefit_percentage_points
0.0,0.0
0.1,0.2857142857142857
0.2,0.5454545454545455
0.3,0.7826086956521738
0.4,1.0
0.5,1.2
0.6,1.3846153846153844
0.7000000000000001,1.5555555555555556
0.8,1.7142857142857144
0.9000000000000001,1.862068965517241
1.0,2.0
1.0999999999999999,2.1290322580645156
1.2,2.25
1.3,2.3636363636363638
1.4000000000000001,2.4705882352941173
1.5,2.571428571428571
1.6,2.6666666666666665
1.7000000000000002,2.7567567567567566
1.8000000000000003,2.8421052631578942
1.9,2.923076923076923
2.0,2.9999999999999996
2.1,3.073170731707317
2.1999999999999997,3.1428571428571423
2.3,3.2093023255813953
2.4,3.2727272727272725
2.5,3.3333333333333335
2.6,3.3913043478260874
2.7,3.4468085106382973
2.8000000000000003,3.5000000000000004
2.9000000000000004,3.551020408163265
3.0,3.5999999999999996
3.1,3.6470588235294117
3.2,3.692307692307692
3.3000000000000003,3.735849056603773
3.4000000000000004,3.7777777777777777
3.5000000000000004,3.8181818181818183
3.6000000000000005,3.8571428571428568
3.6999999999999997,3.8947368421052633
3.8,3.9310344827586206
3.9,3.9661016949152548
4.0,4.0
4.1000000000000005,4.032786885245901
4.2,4.064516129032258
4.300000000000001,4.095238095238096
4.3999999999999995,4.124999999999999
4.5,4.153846153846153
4.6,4.181818181818182
4.7,4.208955223880597
4.8,4.235294117647058
4.9,4.260869565217391
5.0,4.285714285714285
5.1000000000000005,4.309859154929577
5.2,4.333333333333333
5.3,4.3561643835616435
5.4,4.378378378378378
5.5,4.4
5.6000000000000005,4.421052631578948
5.7,4.441558441558442
5.800000000000001,4.461538461538462
5.9,4.481012658227848
6.0,4.5
6.1,4.518518518518518
6.2,4.536585365853658
6.3,4.554216867469879
6.4,4.571428571428571
6.5,4.588235294117647
6.6000000000000005,4.604651162790698
6.7,4.620689655172414
6.800000000000001,4.636363636363637
6.9,4.651685393258427
7.000000000000001,4.666666666666667
7.1000000000000005,4.681318681318681
7.200000000000001,4.695652173913043
7.3,4.709677419354838
7.3999999999999995,4.723404255319148
7.5,4.7368421052631575
7.6,4.75
7.7,4.762886597938144
7.8,4.775510204081632
7.9,4.787878787878788
8.0,4.8
8.1,4.811881188118812
